Word,frequency,Rank
the,133583,1
and,95442,2
of,71267,3
to,48057,4
a,33960,5
in,33580,6
i,30265,7
that,28798,8
he,25857,9
it,22303,10
his,21402,11
for,19527,12
was,18715,13
with,17599,14
not,17373,15
is,16435,16
you,16398,17
be,16115,18
as,14528,19
but,13944,20
all,13725,21
they,13104,22
him,13012,23
shall,11682,24
her,11552,25
my,10511,26
had,10317,27
them,10245,28
have,10116,29
s,9896,30
me,9469,31
said,9429,32
at,9174,33
she,9078,34
from,9076,35
unto,9010,36
this,8915,37
which,8775,38
on,8596,39
lord,8590,40
by,8512,41
their,7806,42
so,7791,43
will,7368,44
were,6871,45
are,6854,46
thou,6759,47
there,6380,48
when,6330,49
or,6325,50
one,6218,51
no,5846,52
what,5792,53
out,5771,54
man,5615,55
thy,5609,56
god,5287,57
if,5245,58
we,5134,59
your,5121,60
then,5091,61
up,5023,62
an,4897,63
thee,4807,64
do,4707,65
now,4677,66
ye,4674,67
upon,4587,68
who,4262,69
into,4098,70
more,4062,71
would,4046,72
very,4009,73
come,3642,74
could,3594,75
like,3468,76
before,3449,77
been,3410,78
any,3357,79
came,3337,80
day,3326,81
king,3149,82
did,3121,83
little,3065,84
know,3057,85
am,2987,86
than,2908,87
house,2900,88
good,2899,89
every,2892,90
see,2885,91
great,2859,92
these,2850,93
go,2841,94
down,2819,95
us,2804,96
people,2802,97
some,2756,98
son,2754,99
made,2744,100
say,2737,101
men,2726,102
after,2723,103
how,2716,104
our,2714,105
time,2707,106
let,2676,107
d,2596,108
about,2595,109
israel,2592,110
such,2560,111
over,2559,112
should,2550,113
may,2549,114
hath,2535,115
well,2509,116
only,2506,117
even,2480,118
other,2451,119
hand,2446,120
two,2374,121
mr,2356,122
must,2333,123
can,2327,124
father,2319,125
against,2317,126
much,2308,127
went,2307,128
t,2256,129
make,2255,130
children,2253,131
yet,2234,132
own,2221,133
o,2220,134
also,2186,135
again,2122,136
land,2081,137
old,2081,137
away,2027,138
things,1977,139
thing,1974,140
might,1963,141
first,1937,142
way,1917,143
because,1896,144
mrs,1857,145
where,1853,146
never,1838,147
give,1830,148
take,1803,149
nor,1801,150
here,1782,151
long,1765,152
saying,1746,153
though,1738,154
himself,1702,155
think,1693,156
earth,1682,157
shalt,1673,158
those,1668,159
ever,1656,160
has,1653,161
being,1652,162
saw,1636,163
therefore,1628,164
heard,1599,165
put,1592,166
many,1591,167
through,1589,168
place,1588,169
without,1581,170
off,1576,171
most,1523,172
heart,1500,173
head,1495,174
name,1493,175
too,1485,176
nothing,1469,177
behold,1468,178
life,1447,179
eyes,1428,180
whom,1424,181
among,1405,182
thus,1366,183
still,1355,184
thought,1353,185
sea,1351,186
last,1333,187
just,1332,188
done,1322,189
word,1303,190
its,1291,191
world,1285,192
face,1275,193
why,1272,194
days,1270,195
night,1270,195
same,1268,196
saith,1267,197
found,1263,198
voice,1258,199
another,1256,200
whale,1254,201
took,1242,202
hear,1235,203
brought,1231,204
hast,1230,205
three,1228,206
while,1222,207
mother,1213,208
forth,1195,209
sons,1191,210
miss,1190,211
look,1187,212
heaven,1185,213
set,1181,214
side,1166,215
round,1162,216
young,1158,217
tell,1153,218
right,1148,219
called,1138,220
under,1126,221
back,1123,222
love,1121,223
david,1110,224
neither,1109,225
cried,1107,226
pass,1090,227
seemed,1086,228
soon,1081,229
quite,1079,230
oh,1075,231
both,1072,232
words,1057,233
city,1052,234
