home,Runs
Abahani Limited,172.0
Abbottabad Falcons,138.0
Abbottabad Region,179.66666666666666
Abbottabad Rhinos,164.0
Adelaide Strikers,162.33333333333334
Afghanistan,149.625
Andhra,129.3846153846154
Antigua,146.0
Antigua Hawksbills,125.33333333333333
Antigua and Barbuda,153.0
Assam,137.8125
Auckland,159.06153846153848
Australia,158.41304347826087
Australia A,173.0
Azad Jammu & Kashmir Region,123.0
Badureliya Sports Club,158.07142857142858
Bahawalpur Region,154.4
Bahawalpur Stags,148.16666666666666
Baluchistan,217.0
Bangladesh,146.42857142857142
Bangladesh A,159.0
Bangladesh Cricket Board XI,82.0
Bangladesh XI,139.0
Barbados,120.92857142857143
Barbados Tridents,151.42857142857142
Barisal Bulls,146.6153846153846
Barisal Burners,152.9090909090909
Barisal Division,115.0
Baroda,146.09375
Basnahira,141.33333333333334
Basnahira Cricket Dundee,129.0
Basnahira Greens,129.5
Basnahira North,133.4
Basnahira South,161.11111111111111
Bengal,151.61290322580646
Bermuda,148.5
Bloomfield Cricket and Athletic Club,124.46666666666667
Boland,145.11111111111111
Border,133.78571428571428
Brisbane Heat,169.94117647058823
Burgher Recreation Club,128.72727272727272
Canada,131.35714285714286
Canterbury,157.2173913043478
Cape Cobras,155.34920634920636
Cayman Islands,175.0
Central Districts,163.83333333333334
Centrals,115.66666666666667
Chennai Super Kings,166.75531914893617
Chilaw Marians Cricket Club,148.68421052631578
Chittagong Division,92.0
Chittagong Kings,152.23076923076923
Chittagong Vikings,161.625
Colombo Commandos,162.75
Colombo Cricket Club,162.63636363636363
Colts Cricket Club,158.0
Combined Campuses and Colleges,126.33333333333333
Combined Provinces,155.0
Comilla Victorians,137.64285714285714
Deccan Chargers,157.51724137931035
Delhi,144.33333333333334
Delhi Daredevils,154.16666666666666
Denmark,116.0
Dera Murad Jamali Ibexes,88.0
Derbyshire,149.06976744186048
Desert Vipers,139.66666666666666
Dhaka Division,128.8
Dhaka Dynamites,148.0
Dhaka Gladiators,166.72222222222223
Dhaka Metropolis,168.0
Dolphins,157.70454545454547
Dominica,139.0
Durham,153.27586206896552
Duronto Rajshahi,147.83333333333334
Eagles,150.0
Eastern Cape,131.0
Eastern Province,139.7391304347826
Easterns,146.0
Easterns (Zimbabwe),159.125
England,159.8695652173913
England Lions,147.0
Essex,161.5609756097561
FATA Cheetas,139.0
FATA Region,111.0
Faisalabad Region,178.0
Faisalabad Wolves,148.58695652173913
Federally Administered Tribal Areas,139.5
Free State,143.8
Galle Cricket Club,109.0
Galle Guardians,142.66666666666666
Gauteng,138.15
Glamorgan,156.55357142857142
Gloucestershire,150.6290322580645
Goa,142.73333333333332
Grenada,127.33333333333333
Griqualand West,141.0625
Gujarat,150.625
Gujarat Lions,163.11111111111111
Guyana,142.8421052631579
Guyana Amazon Warriors,143.84615384615384
Habib Bank Limited,138.2
Hambantota Troopers,141.33333333333334
Hampshire,158.5909090909091
Haryana,136.57142857142858
Himachal Pradesh,138.875
Hobart Hurricanes,166.5
Hong Kong,138.0
Hyderabad (India),153.66666666666666
Hyderabad Hawks,160.875
Hyderabad Region,172.0
India,152.0
India A,184.0
Ireland,133.4390243902439
Islamabad,136.33333333333334
Islamabad Leopards,136.71428571428572
Islamabad Region,158.0
Islamabad United,148.14285714285714
Italy,134.16666666666666
Jamaica,121.94117647058823
Jamaica Tallawahs,145.07692307692307
Jammu & Kashmir,127.0
Jersey,129.0
Jharkhand,129.35294117647058
Kandurata,133.5
Kandurata Maroons,130.66666666666666
Kandurata Warriors,153.0
Kandy Crusaders,154.0
Karachi Blues,159.33333333333334
Karachi Kings,151.5
Karachi Region Blues,170.22222222222223
Karachi Region Whites,173.0
Karachi Whites,157.33333333333334
Karachi Zebras,150.57142857142858
Karnataka,139.25925925925927
Kent,158.72727272727272
Kenya,139.10714285714286
Kerala,136.92857142857142
Khan Research Laboratories,131.0
Khan Research Labs,131.33333333333334
Khulna Division,156.0
Khulna Royal Bengals,157.66666666666666
Khulna Titans,141.28571428571428
Khyber Pakhtunkhwa,145.0
Kings XI Punjab,163.40298507462686
Knights,144.96153846153845
Kochi Tuskers Kerala,139.66666666666666
Kolkata Knight Riders,152.84415584415584
Kurunegala Warriors,142.5
Kurunegala Youth Cricket Club,146.0
KwaZulu-Natal,137.57142857142858
KwaZulu-Natal Inland,141.05263157894737
Lahore Blues,133.0
Lahore Eagles,158.44444444444446
Lahore Lions,158.22222222222223
Lahore Qalandars,179.0
Lahore Region Blues,132.33333333333334
Lahore Region Whites,154.0
Lahore Whites,161.6
Lancashire,157.17777777777778
Lankan Cricket Club,126.25
Larkana Bulls,125.0
Larkana Region,141.0
Leeward Islands,132.0
Leicestershire,158.87671232876713
Lions,153.05357142857142
Madhya Pradesh,134.24137931034483
Maharashtra,148.44444444444446
Mashonaland Eagles,156.8695652173913
Matabeleland Tuskers,143.2
