"YEAR","MONTH","DAY_OF_MONTH","DAY_OF_WEEK","FL_DATE","UNIQUE_CARRIER","AIRLINE_ID","CARRIER","FL_NUM","ORIGIN_AIRPORT_ID","ORIGIN","ORIGIN_CITY_NAME","ORIGIN_STATE_ABR","DEST_AIRPORT_ID","DEST","DEST_CITY_NAME","DEST_STATE_ABR","CRS_DEP_TIME","DEP_TIME","DEP_DELAY","DEP_DELAY_NEW","TAXI_OUT","TAXI_IN","CRS_ARR_TIME","ARR_TIME","ARR_DELAY","ARR_DELAY_NEW","CANCELLED","CANCELLATION_CODE","DIVERTED","CRS_ELAPSED_TIME","ACTUAL_ELAPSED_TIME","AIR_TIME","FLIGHTS","DISTANCE","CARRIER_DELAY","WEATHER_DELAY","NAS_DELAY","SECURITY_DELAY","LATE_AIRCRAFT_DELAY",
2015,4,23,4,2015-04-23,"DL",19790,"DL","1642",10874,"CAK","Akron, OH","OH",10397,"ATL","Atlanta, GA","GA","1754","1751",-3.00,0.00,18.00,5.00,"1948","1928",-20.00,0.00,0.00,"",0.00,114.00,97.00,74.00,1.00,528.00,,,,,,
2015,4,23,4,2015-04-23,"DL",19790,"DL","1643",12892,"LAX","Los Angeles, CA","CA",14747,"SEA","Seattle, WA","WA","1945","1941",-4.00,0.00,18.00,10.00,"2240","2224",-16.00,0.00,0.00,"",0.00,175.00,163.00,135.00,1.00,954.00,,,,,,
2015,4,23,4,2015-04-23,"DL",19790,"DL","1644",11697,"FLL","Fort Lauderdale, FL","FL",12478,"JFK","New York, NY","NY","1208","1154",-14.00,0.00,16.00,3.00,"1515","1436",-39.00,0.00,0.00,"",0.00,187.00,162.00,143.00,1.00,1069.00,,,,,,
2015,4,23,4,2015-04-23,"DL",19790,"DL","1645",11433,"DTW","Detroit, MI","MI",11292,"DEN","Denver, CO","CO","1220","1215",-5.00,0.00,15.00,5.00,"1333","1311",-22.00,0.00,0.00,"",0.00,193.00,176.00,156.00,1.00,1123.00,,,,,,
2015,4,23,4,2015-04-23,"DL",19790,"DL","1646",10397,"ATL","Atlanta, GA","GA",11996,"GSP","Greer, SC","SC","1459","1456",-3.00,0.00,19.00,3.00,"1549","1546",-3.00,0.00,0.00,"",0.00,50.00,50.00,28.00,1.00,153.00,,,,,,
2015,4,23,4,2015-04-23,"DL",19790,"DL","1646",11996,"GSP","Greer, SC","SC",10397,"ATL","Atlanta, GA","GA","1630","1628",-2.00,0.00,12.00,5.00,"1730","1717",-13.00,0.00,0.00,"",0.00,60.00,49.00,32.00,1.00,153.00,,,,,,
2015,4,23,4,2015-04-23,"DL",19790,"DL","1647",12953,"LGA","New York, NY","NY",10397,"ATL","Atlanta, GA","GA","0800","0755",-5.00,0.00,39.00,7.00,"1035","1032",-3.00,0.00,0.00,"",0.00,155.00,157.00,111.00,1.00,762.00,,,,,,
2015,4,23,4,2015-04-23,"DL",19790,"DL","1648",10397,"ATL","Atlanta, GA","GA",13232,"MDW","Chicago, IL","IL","1050","1048",-2.00,0.00,10.00,7.00,"1141","1138",-3.00,0.00,0.00,"",0.00,111.00,110.00,93.00,1.00,591.00,,,,,,
2015,4,23,4,2015-04-23,"DL",19790,"DL","1648",13232,"MDW","Chicago, IL","IL",10397,"ATL","Atlanta, GA","GA","1218","1214",-4.00,0.00,15.00,9.00,"1515","1457",-18.00,0.00,0.00,"",0.00,117.00,103.00,79.00,1.00,591.00,,,,,,
2015,4,23,4,2015-04-23,"DL",19790,"DL","1649",12892,"LAX","Los Angeles, CA","CA",13204,"MCO","Orlando, FL","FL","1615","1609",-6.00,0.00,20.00,5.00,"2352","2323",-29.00,0.00,0.00,"",0.00,277.00,254.00,229.00,1.00,2218.00,,,,,,
