"YEAR","MONTH","DAY_OF_MONTH","DAY_OF_WEEK","FL_DATE","UNIQUE_CARRIER","AIRLINE_ID","CARRIER","FL_NUM","ORIGIN_AIRPORT_ID","ORIGIN","ORIGIN_CITY_NAME","ORIGIN_STATE_ABR","DEST_AIRPORT_ID","DEST","DEST_CITY_NAME","DEST_STATE_ABR","CRS_DEP_TIME","DEP_TIME","DEP_DELAY","DEP_DELAY_NEW","TAXI_OUT","TAXI_IN","CRS_ARR_TIME","ARR_TIME","ARR_DELAY","ARR_DELAY_NEW","CANCELLED","CANCELLATION_CODE","DIVERTED","CRS_ELAPSED_TIME","ACTUAL_ELAPSED_TIME","AIR_TIME","FLIGHTS","DISTANCE","CARRIER_DELAY","WEATHER_DELAY","NAS_DELAY","SECURITY_DELAY","LATE_AIRCRAFT_DELAY",
2016,8,3,3,2016-08-03,"DL",19790,"DL","2156",10397,"ATL","Atlanta, GA","GA",15096,"SYR","Syracuse, NY","NY","0903","0901",-2.00,0.00,13.00,4.00,"1113","1100",-13.00,0.00,0.00,"",0.00,130.00,119.00,102.00,1.00,794.00,,,,,,
2016,8,3,3,2016-08-03,"DL",19790,"DL","2156",15096,"SYR","Syracuse, NY","NY",10397,"ATL","Atlanta, GA","GA","1158","1227",29.00,29.00,13.00,4.00,"1420","1424",4.00,4.00,0.00,"",0.00,142.00,117.00,100.00,1.00,794.00,,,,,,
2016,8,3,3,2016-08-03,"DL",19790,"DL","2157",11433,"DTW","Detroit, MI","MI",14100,"PHL","Philadelphia, PA","PA","2225","2220",-5.00,0.00,12.00,5.00,"2359","2338",-21.00,0.00,0.00,"",0.00,94.00,78.00,61.00,1.00,453.00,,,,,,
2016,8,3,3,2016-08-03,"DL",19790,"DL","2158",12892,"LAX","Los Angeles, CA","CA",13487,"MSP","Minneapolis, MN","MN","0838","0834",-4.00,0.00,16.00,8.00,"1416","1400",-16.00,0.00,0.00,"",0.00,218.00,206.00,182.00,1.00,1535.00,,,,,,
2016,8,3,3,2016-08-03,"DL",19790,"DL","2159",11433,"DTW","Detroit, MI","MI",13871,"OMA","Omaha, NE","NE","1601","1558",-3.00,0.00,15.00,3.00,"1705","1643",-22.00,0.00,0.00,"",0.00,124.00,105.00,87.00,1.00,651.00,,,,,,
2016,8,3,3,2016-08-03,"DL",19790,"DL","2159",13871,"OMA","Omaha, NE","NE",11433,"DTW","Detroit, MI","MI","1755","1752",-3.00,0.00,12.00,5.00,"2052","2041",-11.00,0.00,0.00,"",0.00,117.00,109.00,92.00,1.00,651.00,,,,,,
2016,8,3,3,2016-08-03,"DL",19790,"DL","2160",14107,"PHX","Phoenix, AZ","AZ",14869,"SLC","Salt Lake City, UT","UT","1032","1027",-5.00,0.00,25.00,4.00,"1314","1303",-11.00,0.00,0.00,"",0.00,102.00,96.00,67.00,1.00,507.00,,,,,,
2016,8,3,3,2016-08-03,"DL",19790,"DL","2161",10397,"ATL","Atlanta, GA","GA",14100,"PHL","Philadelphia, PA","PA","1636","1632",-4.00,0.00,12.00,33.00,"1856","1850",-6.00,0.00,0.00,"",0.00,140.00,138.00,93.00,1.00,666.00,,,,,,
2016,8,3,3,2016-08-03,"DL",19790,"DL","2161",14100,"PHL","Philadelphia, PA","PA",10397,"ATL","Atlanta, GA","GA","1940","1938",-2.00,0.00,55.00,5.00,"2200","2206",6.00,6.00,0.00,"",0.00,140.00,148.00,88.00,1.00,666.00,,,,,,
2016,8,3,3,2016-08-03,"DL",19790,"DL","2162",11433,"DTW","Detroit, MI","MI",14100,"PHL","Philadelphia, PA","PA","1758","1755",-3.00,0.00,43.00,14.00,"1941","2017",36.00,36.00,0.00,"",0.00,103.00,142.00,85.00,1.00,453.00,0.00,0.00,36.00,0.00,0.00,
2016,8,3,3,2016-08-03,"DL",19790,"DL","2163",13487,"MSP","Minneapolis, MN","MN",14057,"PDX","Portland, OR","OR","0902","0858",-4.00,0.00,11.00,3.00,"1045","1030",-15.00,0.00,0.00,"",0.00,223.00,212.00,198.00,1.00,1426.00,,,,,,
2016,8,3,3,2016-08-03,"DL",19790,"DL","2163",14057,"PDX","Portland, OR","OR",13487,"MSP","Minneapolis, MN","MN","1145","1141",-4.00,0.00,8.00,6.00,"1704","1638",-26.00,0.00,0.00,"",0.00,199.00,177.00,163.00,1.00,1426.00,,,,,,
2016,8,3,3,2016-08-03,"DL",19790,"DL","2164",13487,"MSP","Minneapolis, MN","MN",11278,"DCA","Washington, DC","VA","1935","1932",-3.00,0.00,18.00,5.00,"2259","2253",-6.00,0.00,0.00,"",0.00,144.00,141.00,118.00,1.00,931.00,,,,,,
2016,8,3,3,2016-08-03,"DL",19790,"DL","2165",13198,"MCI","Kansas City, MO","MO",10397,"ATL","Atlanta, GA","GA","0700","0655",-5.00,0.00,17.00,6.00,"1004","1000",-4.00,0.00,0.00,"",0.00,124.00,125.00,102.00,1.00,692.00,,,,,,
2016,8,3,3,2016-08-03,"DL",19790,"DL","2166",13487,"MSP","Minneapolis, MN","MN",15096,"SYR","Syracuse, NY","NY","1954","1954",0.00,0.00,8.00,4.00,"2307","2248",-19.00,0.00,0.00,"",0.00,133.00,114.00,102.00,1.00,860.00,,,,,,
2016,8,3,3,2016-08-03,"DL",19790,"DL","2167",10257,"ALB","Albany, NY","NY",13487,"MSP","Minneapolis, MN","MN","0604","0604",0.00,0.00,19.00,9.00,"0750","0745",-5.00,0.00,0.00,"",0.00,166.00,161.00,133.00,1.00,980.00,,,,,,
2016,8,3,3,2016-08-03,"DL",19790,"DL","2168",13303,"MIA","Miami, FL","FL",12953,"LGA","New York, NY","NY","2010","2021",11.00,11.00,51.00,6.00,"2327","2341",14.00,14.00,0.00,"",0.00,197.00,200.00,143.00,1.00,1096.00,,,,,,
