"YEAR","MONTH","DAY_OF_MONTH","DAY_OF_WEEK","FL_DATE","UNIQUE_CARRIER","AIRLINE_ID","CARRIER","FL_NUM","ORIGIN_AIRPORT_ID","ORIGIN","ORIGIN_CITY_NAME","ORIGIN_STATE_ABR","DEST_AIRPORT_ID","DEST","DEST_CITY_NAME","DEST_STATE_ABR","CRS_DEP_TIME","DEP_TIME","DEP_DELAY","DEP_DELAY_NEW","TAXI_OUT","TAXI_IN","CRS_ARR_TIME","ARR_TIME","ARR_DELAY","ARR_DELAY_NEW","CANCELLED","CANCELLATION_CODE","DIVERTED","CRS_ELAPSED_TIME","ACTUAL_ELAPSED_TIME","AIR_TIME","FLIGHTS","DISTANCE","CARRIER_DELAY","WEATHER_DELAY","NAS_DELAY","SECURITY_DELAY","LATE_AIRCRAFT_DELAY",
2016,2,3,3,2016-02-03,"AA",19805,"AA","1905",11057,"CLT","Charlotte, NC","NC",13204,"MCO","Orlando, FL","FL","0925","0932",7.00,7.00,15.00,7.00,"1107","1102",-5.00,0.00,0.00,"",0.00,102.00,90.00,68.00,1.00,468.00,,,,,,
2016,2,3,3,2016-02-03,"AA",19805,"AA","1906",11057,"CLT","Charlotte, NC","NC",13198,"MCI","Kansas City, MO","MO","0745","0737",-8.00,0.00,17.00,4.00,"0925","0903",-22.00,0.00,0.00,"",0.00,160.00,146.00,125.00,1.00,808.00,,,,,,
2016,2,3,3,2016-02-03,"AA",19805,"AA","1907",11057,"CLT","Charlotte, NC","NC",10423,"AUS","Austin, TX","TX","1435","1436",1.00,1.00,13.00,4.00,"1647","1646",-1.00,0.00,0.00,"",0.00,192.00,190.00,173.00,1.00,1032.00,,,,,,
2016,2,3,3,2016-02-03,"AA",19805,"AA","1908",11057,"CLT","Charlotte, NC","NC",13930,"ORD","Chicago, IL","IL","1751","2008",137.00,137.00,15.00,8.00,"1904","2057",113.00,113.00,0.00,"",0.00,133.00,109.00,86.00,1.00,599.00,87.00,0.00,0.00,0.00,26.00,
2016,2,3,3,2016-02-03,"AA",19805,"AA","1909",11057,"CLT","Charlotte, NC","NC",14492,"RDU","Raleigh/Durham, NC","NC","1120","1125",5.00,5.00,27.00,4.00,"1212","1230",18.00,18.00,0.00,"",0.00,52.00,65.00,34.00,1.00,130.00,0.00,0.00,13.00,0.00,5.00,
2016,2,3,3,2016-02-03,"AA",19805,"AA","1909",14100,"PHL","Philadelphia, PA","PA",11057,"CLT","Charlotte, NC","NC","0815","0837",22.00,22.00,43.00,5.00,"1017","1053",36.00,36.00,0.00,"",0.00,122.00,136.00,88.00,1.00,449.00,22.00,0.00,14.00,0.00,0.00,
2016,2,3,3,2016-02-03,"AA",19805,"AA","1910",11057,"CLT","Charlotte, NC","NC",12953,"LGA","New York, NY","NY","0955","0949",-6.00,0.00,23.00,6.00,"1153","1139",-14.00,0.00,0.00,"",0.00,118.00,110.00,81.00,1.00,544.00,,,,,,
2016,2,3,3,2016-02-03,"AA",19805,"AA","1910",11298,"DFW","Dallas/Fort Worth, TX","TX",11057,"CLT","Charlotte, NC","NC","0514","0506",-8.00,0.00,13.00,10.00,"0835","0821",-14.00,0.00,0.00,"",0.00,141.00,135.00,112.00,1.00,936.00,,,,,,
2016,2,3,3,2016-02-03,"AA",19805,"AA","1912",11057,"CLT","Charlotte, NC","NC",14747,"SEA","Seattle, WA","WA","0934","1015",41.00,41.00,34.00,10.00,"1228","1322",54.00,54.00,0.00,"",0.00,354.00,367.00,323.00,1.00,2279.00,41.00,0.00,13.00,0.00,0.00,
2016,2,3,3,2016-02-03,"AA",19805,"AA","1912",11697,"FLL","Fort Lauderdale, FL","FL",11057,"CLT","Charlotte, NC","NC","0620","0613",-7.00,0.00,11.00,10.00,"0819","0817",-2.00,0.00,0.00,"",0.00,119.00,124.00,103.00,1.00,632.00,,,,,,
2016,2,3,3,2016-02-03,"AA",19805,"AA","1914",11057,"CLT","Charlotte, NC","NC",14492,"RDU","Raleigh/Durham, NC","NC","1301","1350",49.00,49.00,30.00,4.00,"1355","1455",60.00,60.00,0.00,"",0.00,54.00,65.00,31.00,1.00,130.00,0.00,0.00,11.00,0.00,49.00,
2016,2,3,3,2016-02-03,"AA",19805,"AA","1914",11292,"DEN","Denver, CO","CO",11057,"CLT","Charlotte, NC","NC","0645","0641",-4.00,0.00,56.00,13.00,"1201","1302",61.00,61.00,0.00,"",0.00,196.00,261.00,192.00,1.00,1337.00,0.00,0.00,61.00,0.00,0.00,
2016,2,3,3,2016-02-03,"AA",19805,"AA","1915",11057,"CLT","Charlotte, NC","NC",14492,"RDU","Raleigh/Durham, NC","NC","1805","1928",83.00,83.00,16.00,4.00,"1859","2020",81.00,81.00,0.00,"",0.00,54.00,52.00,32.00,1.00,130.00,80.00,0.00,0.00,0.00,1.00,
2016,2,3,3,2016-02-03,"AA",19805,"AA","1915",11618,"EWR","Newark, NJ","NJ",11057,"CLT","Charlotte, NC","NC","1500","1545",45.00,45.00,29.00,7.00,"1659","1747",48.00,48.00,0.00,"",0.00,119.00,122.00,86.00,1.00,529.00,0.00,0.00,3.00,0.00,45.00,
2016,2,3,3,2016-02-03,"AA",19805,"AA","1916",11057,"CLT","Charlotte, NC","NC",13930,"ORD","Chicago, IL","IL","0754","0750",-4.00,0.00,20.00,18.00,"0916","0901",-15.00,0.00,0.00,"",0.00,142.00,131.00,93.00,1.00,599.00,,,,,,
