"YEAR","MONTH","DAY_OF_MONTH","DAY_OF_WEEK","FL_DATE","UNIQUE_CARRIER","AIRLINE_ID","CARRIER","FL_NUM","ORIGIN_AIRPORT_ID","ORIGIN","ORIGIN_CITY_NAME","ORIGIN_STATE_ABR","DEST_AIRPORT_ID","DEST","DEST_CITY_NAME","DEST_STATE_ABR","CRS_DEP_TIME","DEP_TIME","DEP_DELAY","DEP_DELAY_NEW","TAXI_OUT","TAXI_IN","CRS_ARR_TIME","ARR_TIME","ARR_DELAY","ARR_DELAY_NEW","CANCELLED","CANCELLATION_CODE","DIVERTED","CRS_ELAPSED_TIME","ACTUAL_ELAPSED_TIME","AIR_TIME","FLIGHTS","DISTANCE","CARRIER_DELAY","WEATHER_DELAY","NAS_DELAY","SECURITY_DELAY","LATE_AIRCRAFT_DELAY",
2015,6,22,1,2015-06-22,"DL",19790,"DL","2337",11267,"DAY","Dayton, OH","OH",10397,"ATL","Atlanta, GA","GA","1813","1816",3.00,3.00,16.00,13.00,"1959","1954",-5.00,0.00,0.00,"",0.00,106.00,98.00,69.00,1.00,432.00,,,,,,
2015,6,22,1,2015-06-22,"DL",19790,"DL","2338",10397,"ATL","Atlanta, GA","GA",11278,"DCA","Washington, DC","VA","1020","1059",39.00,39.00,21.00,4.00,"1210","1240",30.00,30.00,0.00,"",0.00,110.00,101.00,76.00,1.00,547.00,30.00,0.00,0.00,0.00,0.00,
2015,6,22,1,2015-06-22,"DL",19790,"DL","2339",10397,"ATL","Atlanta, GA","GA",10874,"CAK","Akron, OH","OH","2158","2249",51.00,51.00,10.00,5.00,"2340","0016",36.00,36.00,0.00,"",0.00,102.00,87.00,72.00,1.00,528.00,0.00,0.00,0.00,0.00,36.00,
2015,6,22,1,2015-06-22,"DL",19790,"DL","2340",11278,"DCA","Washington, DC","VA",13487,"MSP","Minneapolis, MN","MN","1500","1553",53.00,53.00,16.00,5.00,"1634","1727",53.00,53.00,0.00,"",0.00,154.00,154.00,133.00,1.00,931.00,11.00,0.00,0.00,0.00,42.00,
2015,6,22,1,2015-06-22,"DL",19790,"DL","2341",13487,"MSP","Minneapolis, MN","MN",13871,"OMA","Omaha, NE","NE","2156","2203",7.00,7.00,13.00,5.00,"2305","2306",1.00,1.00,0.00,"",0.00,69.00,63.00,45.00,1.00,282.00,,,,,,
2015,6,22,1,2015-06-22,"DL",19790,"DL","2342",10397,"ATL","Atlanta, GA","GA",12451,"JAX","Jacksonville, FL","FL","1215","1213",-2.00,0.00,14.00,4.00,"1325","1315",-10.00,0.00,0.00,"",0.00,70.00,62.00,44.00,1.00,270.00,,,,,,
2015,6,22,1,2015-06-22,"DL",19790,"DL","2342",12451,"JAX","Jacksonville, FL","FL",10397,"ATL","Atlanta, GA","GA","1415","1413",-2.00,0.00,23.00,9.00,"1543","1528",-15.00,0.00,0.00,"",0.00,88.00,75.00,43.00,1.00,270.00,,,,,,
2015,6,22,1,2015-06-22,"DL",19790,"DL","2343",12892,"LAX","Los Angeles, CA","CA",10397,"ATL","Atlanta, GA","GA","1605","1605",0.00,0.00,17.00,8.00,"2325","2324",-1.00,0.00,0.00,"",0.00,260.00,259.00,234.00,1.00,1947.00,,,,,,
2015,6,22,1,2015-06-22,"DL",19790,"DL","2344",13487,"MSP","Minneapolis, MN","MN",11618,"EWR","Newark, NJ","NJ","1912","1917",5.00,5.00,13.00,7.00,"2259","2237",-22.00,0.00,0.00,"",0.00,167.00,140.00,120.00,1.00,1008.00,,,,,,
2015,6,22,1,2015-06-22,"DL",19790,"DL","2345",11618,"EWR","Newark, NJ","NJ",13487,"MSP","Minneapolis, MN","MN","0829","0827",-2.00,0.00,11.00,6.00,"1029","1023",-6.00,0.00,0.00,"",0.00,180.00,176.00,159.00,1.00,1008.00,,,,,,
