"YEAR","MONTH","DAY_OF_MONTH","DAY_OF_WEEK","FL_DATE","UNIQUE_CARRIER","AIRLINE_ID","CARRIER","FL_NUM","ORIGIN_AIRPORT_ID","ORIGIN","ORIGIN_CITY_NAME","ORIGIN_STATE_ABR","DEST_AIRPORT_ID","DEST","DEST_CITY_NAME","DEST_STATE_ABR","CRS_DEP_TIME","DEP_TIME","DEP_DELAY","DEP_DELAY_NEW","TAXI_OUT","TAXI_IN","CRS_ARR_TIME","ARR_TIME","ARR_DELAY","ARR_DELAY_NEW","CANCELLED","CANCELLATION_CODE","DIVERTED","CRS_ELAPSED_TIME","ACTUAL_ELAPSED_TIME","AIR_TIME","FLIGHTS","DISTANCE","CARRIER_DELAY","WEATHER_DELAY","NAS_DELAY","SECURITY_DELAY","LATE_AIRCRAFT_DELAY",
2015,5,27,3,2015-05-27,"DL",19790,"DL","520",12264,"IAD","Washington, DC","VA",10397,"ATL","Atlanta, GA","GA","1130","1130",0.00,0.00,10.00,8.00,"1328","1313",-15.00,0.00,0.00,"",0.00,118.00,103.00,85.00,1.00,534.00,,,,,,
2015,5,27,3,2015-05-27,"DL",19790,"DL","521",11057,"CLT","Charlotte, NC","NC",14869,"SLC","Salt Lake City, UT","UT","0730","0833",63.00,63.00,10.00,5.00,"0957","1030",33.00,33.00,0.00,"",0.00,267.00,237.00,222.00,1.00,1727.00,33.00,0.00,0.00,0.00,0.00,
2015,5,27,3,2015-05-27,"DL",19790,"DL","522",14869,"SLC","Salt Lake City, UT","UT",11057,"CLT","Charlotte, NC","NC","1708","1707",-1.00,0.00,12.00,16.00,"2312","2301",-11.00,0.00,0.00,"",0.00,244.00,234.00,206.00,1.00,1727.00,,,,,,
2015,5,27,3,2015-05-27,"DL",19790,"DL","525",10397,"ATL","Atlanta, GA","GA",13930,"ORD","Chicago, IL","IL","1055","1150",55.00,55.00,20.00,5.00,"1202","1317",75.00,75.00,0.00,"",0.00,127.00,147.00,122.00,1.00,606.00,55.00,0.00,20.00,0.00,0.00,
2015,5,27,3,2015-05-27,"DL",19790,"DL","526",10397,"ATL","Atlanta, GA","GA",15412,"TYS","Knoxville, TN","TN","2155","2158",3.00,3.00,12.00,3.00,"2253","2242",-11.00,0.00,0.00,"",0.00,58.00,44.00,29.00,1.00,152.00,,,,,,
2015,5,27,3,2015-05-27,"DL",19790,"DL","527",14635,"RSW","Fort Myers, FL","FL",12478,"JFK","New York, NY","NY","1215","1505",170.00,170.00,14.00,14.00,"1459","1748",169.00,169.00,0.00,"",0.00,164.00,163.00,135.00,1.00,1074.00,0.00,0.00,169.00,0.00,0.00,
2015,5,27,3,2015-05-27,"DL",19790,"DL","528",12953,"LGA","New York, NY","NY",13487,"MSP","Minneapolis, MN","MN","1144","1141",-3.00,0.00,21.00,5.00,"1349","1328",-21.00,0.00,0.00,"",0.00,185.00,167.00,141.00,1.00,1020.00,,,,,,
2015,5,27,3,2015-05-27,"DL",19790,"DL","541",12889,"LAS","Las Vegas, NV","NV",12478,"JFK","New York, NY","NY","2230","2241",11.00,11.00,10.00,5.00,"0628","0614",-14.00,0.00,0.00,"",0.00,298.00,273.00,258.00,1.00,2248.00,,,,,,
2015,5,27,3,2015-05-27,"DL",19790,"DL","544",10257,"ALB","Albany, NY","NY",10397,"ATL","Atlanta, GA","GA","0600","0553",-7.00,0.00,14.00,8.00,"0835","0824",-11.00,0.00,0.00,"",0.00,155.00,151.00,129.00,1.00,853.00,,,,,,
2015,5,27,3,2015-05-27,"DL",19790,"DL","549",10397,"ATL","Atlanta, GA","GA",14843,"SJU","San Juan, PR","PR","1755","1852",57.00,57.00,14.00,8.00,"2132","2217",45.00,45.00,0.00,"",0.00,217.00,205.00,183.00,1.00,1547.00,0.00,45.00,0.00,0.00,0.00,
