ORIGIN_CITY_NAME,O_lat,O_lon,DEST_CITY_NAME,D_lat,D_lon,Count
"San Francisco, CA",37.7848,-122.7278,"Los Angeles, CA",33.9731,-118.2479,32799
"Chicago, IL",41.9613,-87.8849,"Los Angeles, CA",33.9731,-118.2479,21661
"Boston, MA",42.3706,-71.027,"Los Angeles, CA",33.9731,-118.2479,9093
"Atlanta, GA",33.8444,-84.47399999999999,"Los Angeles, CA",33.9731,-118.2479,12718
"Washington, DC",38.9122,-77.0177,"Los Angeles, CA",33.9731,-118.2479,10044
"Las Vegas, NV",36.1721,-115.1224,"Los Angeles, CA",33.9731,-118.2479,22138
"Miami, FL",25.7791,-80.1978,"Los Angeles, CA",33.9731,-118.2479,6519
"Minneapolis, MN",44.9462,-93.2,"Los Angeles, CA",33.9731,-118.2479,7264
"Fort Lauderdale, FL",26.1216,-80.1288,"Los Angeles, CA",33.9731,-118.2479,3835
"Orlando, FL",28.5399,-81.3727,"Los Angeles, CA",33.9731,-118.2479,5575
"Seattle, WA",47.4323,-121.8034,"Los Angeles, CA",33.9731,-118.2479,18899
"Denver, CO",39.7263,-104.8568,"Los Angeles, CA",33.9731,-118.2479,13535
"Kahului, HI",20.8814,-156.4783,"Los Angeles, CA",33.9731,-118.2479,6055
"Honolulu, HI",24.8598,-168.0218,"Los Angeles, CA",33.9731,-118.2479,11427
"Houston, TX",29.8131,-95.3098,"Los Angeles, CA",33.9731,-118.2479,12961
"Phoenix, AZ",33.704,-112.3518,"Los Angeles, CA",33.9731,-118.2479,15901
"San Diego, CA",32.7185,-117.1593,"Los Angeles, CA",33.9731,-118.2479,7899
"Tampa, FL",27.9961,-82.58200000000001,"Los Angeles, CA",33.9731,-118.2479,1208
"Detroit, MI",42.3474,-83.0604,"Los Angeles, CA",33.9731,-118.2479,4481
"Philadelphia, PA",40.0018,-75.1179,"Los Angeles, CA",33.9731,-118.2479,4335
"Salt Lake City, UT",40.7559,-111.8967,"Los Angeles, CA",33.9731,-118.2479,11029
"Dallas, TX",32.7904,-96.8044,"Los Angeles, CA",33.9731,-118.2479,5244
"Charlotte, NC",35.26,-80.8042,"Los Angeles, CA",33.9731,-118.2479,4280
"Anchorage, AK",61.2116,-149.8761,"Los Angeles, CA",33.9731,-118.2479,941
"Oakland, CA",37.7806,-122.2166,"Los Angeles, CA",33.9731,-118.2479,13078
"Lihue, HI",21.9816,-159.3683,"Los Angeles, CA",33.9731,-118.2479,2907
"Baltimore, MD",39.2946,-76.6252,"Los Angeles, CA",33.9731,-118.2479,3211
"New Orleans, LA",29.9605,-90.0753,"Los Angeles, CA",33.9731,-118.2479,4450
"Newark, NJ",40.7361,-74.2251,"Los Angeles, CA",33.9731,-118.2479,10566
"San Jose, CA",37.3894,-121.8868,"Los Angeles, CA",33.9731,-118.2479,11916
"Cleveland, OH",41.5234,-81.5996,"Los Angeles, CA",33.9731,-118.2479,1873
"Sacramento, CA",38.3805,-121.5554,"Los Angeles, CA",33.9731,-118.2479,11010
"Milwaukee, WI",43.0113,-87.9584,"Los Angeles, CA",33.9731,-118.2479,824
"Hilo, HI",19.7025,-155.0939,"Los Angeles, CA",33.9731,-118.2479,562
"Nashville, TN",36.1657,-86.7781,"Los Angeles, CA",33.9731,-118.2479,3911
"Portland, OR",45.5078,-122.6897,"Los Angeles, CA",33.9731,-118.2479,8556
"San Antonio, TX",29.4711,-98.5356,"Los Angeles, CA",33.9731,-118.2479,3067
"Austin, TX",30.3264,-97.7713,"Los Angeles, CA",33.9731,-118.2479,5733
"Kansas City, MO",39.1024,-94.5986,"Los Angeles, CA",33.9731,-118.2479,2682
"Columbus, OH",40.0999,-83.0157,"Los Angeles, CA",33.9731,-118.2479,1286
"Indianapolis, IN",39.775,-86.1093,"Los Angeles, CA",33.9731,-118.2479,1977
"Pittsburgh, PA",40.4752,-79.9528,"Los Angeles, CA",33.9731,-118.2479,707
"Omaha, NE",41.2917,-96.1711,"Los Angeles, CA",33.9731,-118.2479,338
"Memphis, TN",35.1693,-89.9904,"Los Angeles, CA",33.9731,-118.2479,565
"Reno, NV",39.5268,-119.8113,"Los Angeles, CA",33.9731,-118.2479,3783
"Spokane, WA",47.6665,-117.4365,"Los Angeles, CA",33.9731,-118.2479,263
"Ontario, CA",34.84,-115.9671,"Los Angeles, CA",33.9731,-118.2479,1
"Cincinnati, OH",39.1668,-84.5382,"Los Angeles, CA",33.9731,-118.2479,1298
"Buffalo, NY",42.8967,-78.8846,"Los Angeles, CA",33.9731,-118.2479,190
"Tucson, AZ",32.2139,-110.9694,"Los Angeles, CA",33.9731,-118.2479,5510
"Wichita, KS",37.652,-97.259,"Los Angeles, CA",33.9731,-118.2479,58
"Madison, WI",43.0696,-89.4239,"Los Angeles, CA",33.9731,-118.2479,2
"Hartford, CT",41.7801,-72.6771,"Los Angeles, CA",33.9731,-118.2479,201
"Oklahoma City, OK",35.3513,-97.4953,"Los Angeles, CA",33.9731,-118.2479,667
"Palm Springs, CA",33.8414,-116.5347,"Los Angeles, CA",33.9731,-118.2479,1134
