"YEAR","MONTH","DAY_OF_MONTH","DAY_OF_WEEK","FL_DATE","UNIQUE_CARRIER","AIRLINE_ID","CARRIER","FL_NUM","ORIGIN_AIRPORT_ID","ORIGIN","ORIGIN_CITY_NAME","ORIGIN_STATE_ABR","DEST_AIRPORT_ID","DEST","DEST_CITY_NAME","DEST_STATE_ABR","CRS_DEP_TIME","DEP_TIME","DEP_DELAY","DEP_DELAY_NEW","TAXI_OUT","TAXI_IN","CRS_ARR_TIME","ARR_TIME","ARR_DELAY","ARR_DELAY_NEW","CANCELLED","CANCELLATION_CODE","DIVERTED","CRS_ELAPSED_TIME","ACTUAL_ELAPSED_TIME","AIR_TIME","FLIGHTS","DISTANCE","CARRIER_DELAY","WEATHER_DELAY","NAS_DELAY","SECURITY_DELAY","LATE_AIRCRAFT_DELAY",
2015,4,5,7,2015-04-05,"DL",19790,"DL","1990",14685,"SAV","Savannah, GA","GA",10397,"ATL","Atlanta, GA","GA","1140","1209",29.00,29.00,15.00,6.00,"1249","1310",21.00,21.00,0.00,"",0.00,69.00,61.00,40.00,1.00,214.00,0.00,0.00,0.00,0.00,21.00,
2015,4,5,7,2015-04-05,"DL",19790,"DL","1991",13487,"MSP","Minneapolis, MN","MN",10397,"ATL","Atlanta, GA","GA","0520","0514",-6.00,0.00,12.00,4.00,"0849","0818",-31.00,0.00,0.00,"",0.00,149.00,124.00,108.00,1.00,907.00,,,,,,
2015,4,5,7,2015-04-05,"DL",19790,"DL","1992",13204,"MCO","Orlando, FL","FL",13487,"MSP","Minneapolis, MN","MN","1825","1829",4.00,4.00,13.00,4.00,"2055","2101",6.00,6.00,0.00,"",0.00,210.00,212.00,195.00,1.00,1310.00,,,,,,
2015,4,5,7,2015-04-05,"DL",19790,"DL","1992",13487,"MSP","Minneapolis, MN","MN",13204,"MCO","Orlando, FL","FL","1305","1301",-4.00,0.00,14.00,9.00,"1712","1702",-10.00,0.00,0.00,"",0.00,187.00,181.00,158.00,1.00,1310.00,,,,,,
2015,4,5,7,2015-04-05,"DL",19790,"DL","1993",12451,"JAX","Jacksonville, FL","FL",10397,"ATL","Atlanta, GA","GA","0625","0619",-6.00,0.00,14.00,5.00,"0735","0726",-9.00,0.00,0.00,"",0.00,70.00,67.00,48.00,1.00,270.00,,,,,,
2015,4,5,7,2015-04-05,"DL",19790,"DL","1994",14107,"PHX","Phoenix, AZ","AZ",12478,"JFK","New York, NY","NY","0645","0651",6.00,6.00,15.00,11.00,"1430","1415",-15.00,0.00,0.00,"",0.00,285.00,264.00,238.00,1.00,2153.00,,,,,,
2015,4,5,7,2015-04-05,"DL",19790,"DL","1996",12953,"LGA","New York, NY","NY",13487,"MSP","Minneapolis, MN","MN","1157","1154",-3.00,0.00,17.00,3.00,"1420","1410",-10.00,0.00,0.00,"",0.00,203.00,196.00,176.00,1.00,1020.00,,,,,,
2015,4,5,7,2015-04-05,"DL",19790,"DL","1997",11298,"DFW","Dallas/Fort Worth, TX","TX",14869,"SLC","Salt Lake City, UT","UT","1919","1918",-1.00,0.00,19.00,4.00,"2110","2101",-9.00,0.00,0.00,"",0.00,171.00,163.00,140.00,1.00,989.00,,,,,,
2015,4,5,7,2015-04-05,"DL",19790,"DL","2001",12889,"LAS","Las Vegas, NV","NV",10397,"ATL","Atlanta, GA","GA","0030","0029",-1.00,0.00,17.00,5.00,"0713","0656",-17.00,0.00,0.00,"",0.00,223.00,207.00,185.00,1.00,1747.00,,,,,,
2015,4,5,7,2015-04-05,"DL",19790,"DL","2002",10397,"ATL","Atlanta, GA","GA",12889,"LAS","Las Vegas, NV","NV","2142","2152",10.00,10.00,15.00,5.00,"2320","2318",-2.00,0.00,0.00,"",0.00,278.00,266.00,246.00,1.00,1747.00,,,,,,
2015,4,5,7,2015-04-05,"DL",19790,"DL","2003",12953,"LGA","New York, NY","NY",13303,"MIA","Miami, FL","FL","0705","0714",9.00,9.00,9.00,4.00,"1020","0953",-27.00,0.00,0.00,"",0.00,195.00,159.00,146.00,1.00,1096.00,,,,,,
2015,4,5,7,2015-04-05,"DL",19790,"DL","2004",12892,"LAX","Los Angeles, CA","CA",14869,"SLC","Salt Lake City, UT","UT","1635","1657",22.00,22.00,16.00,4.00,"1924","1942",18.00,18.00,0.00,"",0.00,109.00,105.00,85.00,1.00,590.00,18.00,0.00,0.00,0.00,0.00,
2015,4,5,7,2015-04-05,"DL",19790,"DL","2005",11433,"DTW","Detroit, MI","MI",10397,"ATL","Atlanta, GA","GA","1210","1206",-4.00,0.00,18.00,7.00,"1418","1352",-26.00,0.00,0.00,"",0.00,128.00,106.00,81.00,1.00,594.00,,,,,,
2015,4,5,7,2015-04-05,"DL",19790,"DL","2007",12478,"JFK","New York, NY","NY",11433,"DTW","Detroit, MI","MI","0910","0900",-10.00,0.00,26.00,5.00,"1130","1107",-23.00,0.00,0.00,"",0.00,140.00,127.00,96.00,1.00,509.00,,,,,,
2015,4,5,7,2015-04-05,"DL",19790,"DL","2008",13487,"MSP","Minneapolis, MN","MN",11292,"DEN","Denver, CO","CO","1520","1520",0.00,0.00,13.00,4.00,"1622","1625",3.00,3.00,0.00,"",0.00,122.00,125.00,108.00,1.00,680.00,,,,,,
2015,4,5,7,2015-04-05,"DL",19790,"DL","2010",10397,"ATL","Atlanta, GA","GA",14685,"SAV","Savannah, GA","GA","2105","2107",2.00,2.00,17.00,5.00,"2210","2203",-7.00,0.00,0.00,"",0.00,65.00,56.00,34.00,1.00,214.00,,,,,,
2015,4,5,7,2015-04-05,"DL",19790,"DL","2011",10397,"ATL","Atlanta, GA","GA",11193,"CVG","Cincinnati, OH","KY","0940","0938",-2.00,0.00,13.00,5.00,"1105","1058",-7.00,0.00,0.00,"",0.00,85.00,80.00,62.00,1.00,373.00,,,,,,
2015,4,5,7,2015-04-05,"DL",19790,"DL","2013",10397,"ATL","Atlanta, GA","GA",15096,"SYR","Syracuse, NY","NY","2045","2044",-1.00,0.00,31.00,5.00,"2258","2258",0.00,0.00,0.00,"",0.00,133.00,134.00,98.00,1.00,794.00,,,,,,
2015,4,5,7,2015-04-05,"DL",19790,"DL","2014",15096,"SYR","Syracuse, NY","NY",10397,"ATL","Atlanta, GA","GA","0545","0543",-2.00,0.00,10.00,6.00,"0821","0757",-24.00,0.00,0.00,"",0.00,156.00,134.00,118.00,1.00,794.00,,,,,,
2015,4,5,7,2015-04-05,"DL",19790,"DL","2015",10397,"ATL","Atlanta, GA","GA",12264,"IAD","Washington, DC","VA","1910","1905",-5.00,0.00,13.00,7.00,"2100","2044",-16.00,0.00,0.00,"",0.00,110.00,99.00,79.00,1.00,534.00,,,,,,
2015,4,5,7,2015-04-05,"DL",19790,"DL","2017",10397,"ATL","Atlanta, GA","GA",11996,"GSP","Greer, SC","SC","1501","1456",-5.00,0.00,12.00,3.00,"1552","1540",-12.00,0.00,0.00,"",0.00,51.00,44.00,29.00,1.00,153.00,,,,,,
2015,4,5,7,2015-04-05,"DL",19790,"DL","2017",11996,"GSP","Greer, SC","SC",10397,"ATL","Atlanta, GA","GA","1632","1627",-5.00,0.00,17.00,6.00,"1733","1722",-11.00,0.00,0.00,"",0.00,61.00,55.00,32.00,1.00,153.00,,,,,,
2015,4,5,7,2015-04-05,"DL",19790,"DL","2018",10397,"ATL","Atlanta, GA","GA",13204,"MCO","Orlando, FL","FL","0855","0853",-2.00,0.00,10.00,7.00,"1023","1010",-13.00,0.00,0.00,"",0.00,88.00,77.00,60.00,1.00,404.00,,,,,,
2015,4,5,7,2015-04-05,"DL",19790,"DL","2018",13204,"MCO","Orlando, FL","FL",10397,"ATL","Atlanta, GA","GA","1120","1113",-7.00,0.00,10.00,10.00,"1305","1238",-27.00,0.00,0.00,"",0.00,105.00,85.00,65.00,1.00,404.00,,,,,,
