"YEAR","MONTH","DAY_OF_MONTH","DAY_OF_WEEK","FL_DATE","UNIQUE_CARRIER","AIRLINE_ID","CARRIER","FL_NUM","ORIGIN_AIRPORT_ID","ORIGIN","ORIGIN_CITY_NAME","ORIGIN_STATE_ABR","DEST_AIRPORT_ID","DEST","DEST_CITY_NAME","DEST_STATE_ABR","CRS_DEP_TIME","DEP_TIME","DEP_DELAY","DEP_DELAY_NEW","TAXI_OUT","TAXI_IN","CRS_ARR_TIME","ARR_TIME","ARR_DELAY","ARR_DELAY_NEW","CANCELLED","CANCELLATION_CODE","DIVERTED","CRS_ELAPSED_TIME","ACTUAL_ELAPSED_TIME","AIR_TIME","FLIGHTS","DISTANCE","CARRIER_DELAY","WEATHER_DELAY","NAS_DELAY","SECURITY_DELAY","LATE_AIRCRAFT_DELAY",
2016,12,18,7,2016-12-18,"OO",20304,"OO","3111",13930,"ORD","Chicago, IL","IL",10990,"CHO","Charlottesville, VA","VA","1150","1342",112.00,112.00,21.00,4.00,"1438","1624",106.00,106.00,0.00,"",0.00,108.00,102.00,77.00,1.00,566.00,0.00,0.00,0.00,0.00,106.00,
2016,12,18,7,2016-12-18,"OO",20304,"OO","3112",10990,"CHO","Charlottesville, VA","VA",13930,"ORD","Chicago, IL","IL","1810","2038",148.00,148.00,12.00,28.00,"1912","2151",159.00,159.00,0.00,"",0.00,122.00,133.00,93.00,1.00,566.00,3.00,0.00,11.00,0.00,145.00,
2016,12,18,7,2016-12-18,"OO",20304,"OO","3112",13930,"ORD","Chicago, IL","IL",10990,"CHO","Charlottesville, VA","VA","1457","1717",140.00,140.00,21.00,5.00,"1743","2008",145.00,145.00,0.00,"",0.00,106.00,111.00,85.00,1.00,566.00,0.00,0.00,5.00,0.00,140.00,
2016,12,18,7,2016-12-18,"OO",20304,"OO","3113",12278,"ICT","Wichita, KS","KS",13930,"ORD","Chicago, IL","IL","0545","",,,,,"0747","",,,1.00,"B",0.00,122.00,,,1.00,588.00,,,,,,
2016,12,18,7,2016-12-18,"OO",20304,"OO","3113",13930,"ORD","Chicago, IL","IL",13342,"MKE","Milwaukee, WI","WI","0850","1039",109.00,109.00,15.00,14.00,"0938","1124",106.00,106.00,0.00,"",0.00,48.00,45.00,16.00,1.00,67.00,0.00,0.00,0.00,0.00,106.00,
2016,12,18,7,2016-12-18,"OO",20304,"OO","3114",12278,"ICT","Wichita, KS","KS",13930,"ORD","Chicago, IL","IL","1012","1012",0.00,0.00,19.00,44.00,"1204","1231",27.00,27.00,0.00,"",0.00,112.00,139.00,76.00,1.00,588.00,0.00,0.00,27.00,0.00,0.00,
2016,12,18,7,2016-12-18,"OO",20304,"OO","3114",13930,"ORD","Chicago, IL","IL",12278,"ICT","Wichita, KS","KS","0708","0715",7.00,7.00,28.00,5.00,"0912","0933",21.00,21.00,0.00,"",0.00,124.00,138.00,105.00,1.00,588.00,0.00,0.00,14.00,0.00,7.00,
2016,12,18,7,2016-12-18,"OO",20304,"OO","3115",12278,"ICT","Wichita, KS","KS",13930,"ORD","Chicago, IL","IL","1216","1450",154.00,154.00,13.00,13.00,"1409","1633",144.00,144.00,0.00,"",0.00,113.00,103.00,77.00,1.00,588.00,0.00,0.00,0.00,0.00,144.00,
2016,12,18,7,2016-12-18,"OO",20304,"OO","3115",13930,"ORD","Chicago, IL","IL",12278,"ICT","Wichita, KS","KS","0950","1147",117.00,117.00,44.00,3.00,"1151","1424",153.00,153.00,0.00,"",0.00,121.00,157.00,110.00,1.00,588.00,117.00,0.00,36.00,0.00,0.00,
2016,12,18,7,2016-12-18,"OO",20304,"OO","3116",12278,"ICT","Wichita, KS","KS",13930,"ORD","Chicago, IL","IL","1551","1606",15.00,15.00,12.00,13.00,"1748","1750",2.00,2.00,0.00,"",0.00,117.00,104.00,79.00,1.00,588.00,,,,,,
