"YEAR","MONTH","DAY_OF_MONTH","DAY_OF_WEEK","FL_DATE","UNIQUE_CARRIER","AIRLINE_ID","CARRIER","FL_NUM","ORIGIN_AIRPORT_ID","ORIGIN","ORIGIN_CITY_NAME","ORIGIN_STATE_ABR","DEST_AIRPORT_ID","DEST","DEST_CITY_NAME","DEST_STATE_ABR","CRS_DEP_TIME","DEP_TIME","DEP_DELAY","DEP_DELAY_NEW","TAXI_OUT","TAXI_IN","CRS_ARR_TIME","ARR_TIME","ARR_DELAY","ARR_DELAY_NEW","CANCELLED","CANCELLATION_CODE","DIVERTED","CRS_ELAPSED_TIME","ACTUAL_ELAPSED_TIME","AIR_TIME","FLIGHTS","DISTANCE","CARRIER_DELAY","WEATHER_DELAY","NAS_DELAY","SECURITY_DELAY","LATE_AIRCRAFT_DELAY",
2015,1,5,1,2015-01-05,"OO",20304,"OO","5587",13930,"ORD","Chicago, IL","IL",13029,"LNK","Lincoln, NE","NE","1745","",,,,,"1930","",,,1.00,"B",0.00,105.00,,,1.00,466.00,,,,,,
2015,1,30,5,2015-01-30,"OO",20304,"OO","5587",14122,"PIT","Pittsburgh, PA","PA",13930,"ORD","Chicago, IL","IL","1844","1921",37.00,37.00,12.00,8.00,"1925","1951",26.00,26.00,0.00,"",0.00,101.00,90.00,70.00,1.00,413.00,0.00,0.00,0.00,0.00,26.00,
2015,1,19,1,2015-01-19,"OO",20304,"OO","5587",14122,"PIT","Pittsburgh, PA","PA",13930,"ORD","Chicago, IL","IL","1844","1840",-4.00,0.00,14.00,9.00,"1925","1915",-10.00,0.00,0.00,"",0.00,101.00,95.00,72.00,1.00,413.00,,,,,,
2015,1,29,4,2015-01-29,"OO",20304,"OO","5587",14122,"PIT","Pittsburgh, PA","PA",13930,"ORD","Chicago, IL","IL","1844","1841",-3.00,0.00,22.00,10.00,"1925","1930",5.00,5.00,0.00,"",0.00,101.00,109.00,77.00,1.00,413.00,,,,,,
2015,1,23,5,2015-01-23,"OO",20304,"OO","5587",14122,"PIT","Pittsburgh, PA","PA",13930,"ORD","Chicago, IL","IL","1844","1849",5.00,5.00,10.00,6.00,"1925","1918",-7.00,0.00,0.00,"",0.00,101.00,89.00,73.00,1.00,413.00,,,,,,
2015,1,15,4,2015-01-15,"OO",20304,"OO","5587",14122,"PIT","Pittsburgh, PA","PA",13930,"ORD","Chicago, IL","IL","1844","1842",-2.00,0.00,15.00,11.00,"1925","1923",-2.00,0.00,0.00,"",0.00,101.00,101.00,75.00,1.00,413.00,,,,,,
2015,1,28,3,2015-01-28,"OO",20304,"OO","5587",14122,"PIT","Pittsburgh, PA","PA",13930,"ORD","Chicago, IL","IL","1844","1841",-3.00,0.00,14.00,20.00,"1925","1928",3.00,3.00,0.00,"",0.00,101.00,107.00,73.00,1.00,413.00,,,,,,
2015,1,27,2,2015-01-27,"OO",20304,"OO","5587",14122,"PIT","Pittsburgh, PA","PA",13930,"ORD","Chicago, IL","IL","1844","1835",-9.00,0.00,30.00,13.00,"1925","1927",2.00,2.00,0.00,"",0.00,101.00,112.00,69.00,1.00,413.00,,,,,,
2015,1,16,5,2015-01-16,"OO",20304,"OO","5587",14122,"PIT","Pittsburgh, PA","PA",13930,"ORD","Chicago, IL","IL","1844","1837",-7.00,0.00,19.00,15.00,"1925","1925",0.00,0.00,0.00,"",0.00,101.00,108.00,74.00,1.00,413.00,,,,,,
2015,1,21,3,2015-01-21,"OO",20304,"OO","5587",14122,"PIT","Pittsburgh, PA","PA",13930,"ORD","Chicago, IL","IL","1844","1913",29.00,29.00,11.00,17.00,"1925","1947",22.00,22.00,0.00,"",0.00,101.00,94.00,66.00,1.00,413.00,0.00,0.00,0.00,0.00,22.00,
2015,1,6,2,2015-01-06,"OO",20304,"OO","5587",14122,"PIT","Pittsburgh, PA","PA",13930,"ORD","Chicago, IL","IL","1844","1925",41.00,41.00,14.00,8.00,"1925","2010",45.00,45.00,0.00,"",0.00,101.00,105.00,83.00,1.00,413.00,0.00,0.00,4.00,0.00,41.00,
2015,1,13,2,2015-01-13,"OO",20304,"OO","5587",14122,"PIT","Pittsburgh, PA","PA",13930,"ORD","Chicago, IL","IL","1844","1845",1.00,1.00,15.00,18.00,"1925","1925",0.00,0.00,0.00,"",0.00,101.00,100.00,67.00,1.00,413.00,,,,,,
2015,1,22,4,2015-01-22,"OO",20304,"OO","5587",14122,"PIT","Pittsburgh, PA","PA",13930,"ORD","Chicago, IL","IL","1844","1904",20.00,20.00,10.00,17.00,"1925","1945",20.00,20.00,0.00,"",0.00,101.00,101.00,74.00,1.00,413.00,8.00,0.00,0.00,0.00,12.00,
2015,1,7,3,2015-01-07,"OO",20304,"OO","5587",14122,"PIT","Pittsburgh, PA","PA",13930,"ORD","Chicago, IL","IL","1844","1848",4.00,4.00,29.00,13.00,"1925","1938",13.00,13.00,0.00,"",0.00,101.00,110.00,68.00,1.00,413.00,,,,,,
2015,1,20,2,2015-01-20,"OO",20304,"OO","5587",14122,"PIT","Pittsburgh, PA","PA",13930,"ORD","Chicago, IL","IL","1844","2044",120.00,120.00,19.00,9.00,"1925","2125",120.00,120.00,0.00,"",0.00,101.00,101.00,73.00,1.00,413.00,0.00,0.00,0.00,0.00,120.00,
2015,1,8,4,2015-01-08,"OO",20304,"OO","5587",14122,"PIT","Pittsburgh, PA","PA",13930,"ORD","Chicago, IL","IL","1844","2159",195.00,195.00,101.00,9.00,"1925","0016",291.00,291.00,0.00,"",0.00,101.00,197.00,87.00,1.00,413.00,0.00,0.00,96.00,0.00,195.00,
2015,1,26,1,2015-01-26,"OO",20304,"OO","5587",14122,"PIT","Pittsburgh, PA","PA",13930,"ORD","Chicago, IL","IL","1844","1941",57.00,57.00,34.00,16.00,"1925","2037",72.00,72.00,0.00,"",0.00,101.00,116.00,66.00,1.00,413.00,0.00,0.00,15.00,0.00,57.00,
2015,1,12,1,2015-01-12,"OO",20304,"OO","5587",14122,"PIT","Pittsburgh, PA","PA",13930,"ORD","Chicago, IL","IL","1844","1859",15.00,15.00,19.00,19.00,"1925","2005",40.00,40.00,0.00,"",0.00,101.00,126.00,88.00,1.00,413.00,0.00,0.00,25.00,0.00,15.00,
