"YEAR","MONTH","DAY_OF_MONTH","DAY_OF_WEEK","FL_DATE","UNIQUE_CARRIER","AIRLINE_ID","CARRIER","FL_NUM","ORIGIN_AIRPORT_ID","ORIGIN","ORIGIN_CITY_NAME","ORIGIN_STATE_ABR","DEST_AIRPORT_ID","DEST","DEST_CITY_NAME","DEST_STATE_ABR","CRS_DEP_TIME","DEP_TIME","DEP_DELAY","DEP_DELAY_NEW","TAXI_OUT","TAXI_IN","CRS_ARR_TIME","ARR_TIME","ARR_DELAY","ARR_DELAY_NEW","CANCELLED","CANCELLATION_CODE","DIVERTED","CRS_ELAPSED_TIME","ACTUAL_ELAPSED_TIME","AIR_TIME","FLIGHTS","DISTANCE","CARRIER_DELAY","WEATHER_DELAY","NAS_DELAY","SECURITY_DELAY","LATE_AIRCRAFT_DELAY",
2016,5,2,1,2016-05-02,"DL",19790,"DL","2624",13204,"MCO","Orlando, FL","FL",14869,"SLC","Salt Lake City, UT","UT","0730","0725",-5.00,0.00,14.00,7.00,"1011","1001",-10.00,0.00,0.00,"",0.00,281.00,276.00,255.00,1.00,1931.00,,,,,,
2016,5,2,1,2016-05-02,"DL",19790,"DL","2625",10397,"ATL","Atlanta, GA","GA",13487,"MSP","Minneapolis, MN","MN","0725","0720",-5.00,0.00,16.00,5.00,"0858","0844",-14.00,0.00,0.00,"",0.00,153.00,144.00,123.00,1.00,907.00,,,,,,
2016,5,2,1,2016-05-02,"DL",19790,"DL","2626",14869,"SLC","Salt Lake City, UT","UT",14107,"PHX","Phoenix, AZ","AZ","1110","1106",-4.00,0.00,11.00,3.00,"1147","1134",-13.00,0.00,0.00,"",0.00,97.00,88.00,74.00,1.00,507.00,,,,,,
2016,5,2,1,2016-05-02,"DL",19790,"DL","2629",11278,"DCA","Washington, DC","VA",10397,"ATL","Atlanta, GA","GA","1800","2041",161.00,161.00,43.00,10.00,"2007","2301",174.00,174.00,0.00,"",0.00,127.00,140.00,87.00,1.00,547.00,1.00,60.00,78.00,0.00,35.00,
2016,5,2,1,2016-05-02,"DL",19790,"DL","2630",10397,"ATL","Atlanta, GA","GA",13342,"MKE","Milwaukee, WI","WI","1935","1931",-4.00,0.00,33.00,8.00,"2039","2044",5.00,5.00,0.00,"",0.00,124.00,133.00,92.00,1.00,669.00,,,,,,
2016,5,2,1,2016-05-02,"DL",19790,"DL","2631",10397,"ATL","Atlanta, GA","GA",14783,"SGF","Springfield, MO","MO","2015","2015",0.00,0.00,33.00,4.00,"2102","2115",13.00,13.00,0.00,"",0.00,107.00,120.00,83.00,1.00,563.00,,,,,,
2016,5,2,1,2016-05-02,"DL",19790,"DL","2633",13487,"MSP","Minneapolis, MN","MN",14635,"RSW","Fort Myers, FL","FL","0730","0723",-7.00,0.00,13.00,5.00,"1151","1137",-14.00,0.00,0.00,"",0.00,201.00,194.00,176.00,1.00,1416.00,,,,,,
2016,5,2,1,2016-05-02,"DL",19790,"DL","2634",12478,"JFK","New York, NY","NY",11292,"DEN","Denver, CO","CO","1825","1837",12.00,12.00,15.00,14.00,"2105","2050",-15.00,0.00,0.00,"",0.00,280.00,253.00,224.00,1.00,1626.00,,,,,,
2016,5,2,1,2016-05-02,"DL",19790,"DL","2635",12478,"JFK","New York, NY","NY",13204,"MCO","Orlando, FL","FL","0836","0856",20.00,20.00,24.00,6.00,"1139","1143",4.00,4.00,0.00,"",0.00,183.00,167.00,137.00,1.00,944.00,,,,,,
2016,5,2,1,2016-05-02,"DL",19790,"DL","2636",11042,"CLE","Cleveland, OH","OH",10397,"ATL","Atlanta, GA","GA","0630","0631",1.00,1.00,12.00,5.00,"0823","0811",-12.00,0.00,0.00,"",0.00,113.00,100.00,83.00,1.00,554.00,,,,,,
2016,5,2,1,2016-05-02,"DL",19790,"DL","2637",10257,"ALB","Albany, NY","NY",10397,"ATL","Atlanta, GA","GA","1800","2006",126.00,126.00,18.00,4.00,"2043","2302",139.00,139.00,0.00,"",0.00,163.00,176.00,154.00,1.00,853.00,126.00,0.00,13.00,0.00,0.00,
2016,5,2,1,2016-05-02,"DL",19790,"DL","2637",10397,"ATL","Atlanta, GA","GA",10257,"ALB","Albany, NY","NY","1454","1530",36.00,36.00,29.00,3.00,"1719","1743",24.00,24.00,0.00,"",0.00,145.00,133.00,101.00,1.00,853.00,0.00,0.00,0.00,0.00,24.00,
2016,5,2,1,2016-05-02,"DL",19790,"DL","2638",14831,"SJC","San Jose, CA","CA",14869,"SLC","Salt Lake City, UT","UT","1315","1315",0.00,0.00,12.00,4.00,"1605","1558",-7.00,0.00,0.00,"",0.00,110.00,103.00,87.00,1.00,584.00,,,,,,
2016,5,2,1,2016-05-02,"DL",19790,"DL","2638",14869,"SLC","Salt Lake City, UT","UT",14831,"SJC","San Jose, CA","CA","1110","1107",-3.00,0.00,16.00,33.00,"1206","1218",12.00,12.00,0.00,"",0.00,116.00,131.00,82.00,1.00,584.00,,,,,,
2016,5,2,1,2016-05-02,"DL",19790,"DL","2640",13360,"MLB","Melbourne, FL","FL",10397,"ATL","Atlanta, GA","GA","0600","0721",81.00,81.00,9.00,8.00,"0730","0843",73.00,73.00,0.00,"",0.00,90.00,82.00,65.00,1.00,442.00,73.00,0.00,0.00,0.00,0.00,
