"YEAR","MONTH","DAY_OF_MONTH","DAY_OF_WEEK","FL_DATE","UNIQUE_CARRIER","AIRLINE_ID","CARRIER","FL_NUM","ORIGIN_AIRPORT_ID","ORIGIN","ORIGIN_CITY_NAME","ORIGIN_STATE_ABR","DEST_AIRPORT_ID","DEST","DEST_CITY_NAME","DEST_STATE_ABR","CRS_DEP_TIME","DEP_TIME","DEP_DELAY","DEP_DELAY_NEW","TAXI_OUT","TAXI_IN","CRS_ARR_TIME","ARR_TIME","ARR_DELAY","ARR_DELAY_NEW","CANCELLED","CANCELLATION_CODE","DIVERTED","CRS_ELAPSED_TIME","ACTUAL_ELAPSED_TIME","AIR_TIME","FLIGHTS","DISTANCE","CARRIER_DELAY","WEATHER_DELAY","NAS_DELAY","SECURITY_DELAY","LATE_AIRCRAFT_DELAY",
2015,9,21,1,2015-09-21,"OO",20304,"OO","5483",11292,"DEN","Denver, CO","CO",14869,"SLC","Salt Lake City, UT","UT","1845","1847",2.00,2.00,18.00,10.00,"2017","2021",4.00,4.00,0.00,"",0.00,92.00,94.00,66.00,1.00,391.00,,,,,,
2015,9,16,3,2015-09-16,"OO",20304,"OO","5483",11292,"DEN","Denver, CO","CO",14869,"SLC","Salt Lake City, UT","UT","1845","1844",-1.00,0.00,24.00,11.00,"2017","2029",12.00,12.00,0.00,"",0.00,92.00,105.00,70.00,1.00,391.00,,,,,,
2015,9,21,1,2015-09-21,"OO",20304,"OO","5483",13367,"MLI","Moline, IL","IL",11292,"DEN","Denver, CO","CO","1335","1412",37.00,37.00,13.00,5.00,"1455","1518",23.00,23.00,0.00,"",0.00,140.00,126.00,108.00,1.00,752.00,0.00,0.00,0.00,0.00,23.00,
2015,9,13,7,2015-09-13,"OO",20304,"OO","5483",13367,"MLI","Moline, IL","IL",11292,"DEN","Denver, CO","CO","1335","1328",-7.00,0.00,15.00,16.00,"1455","1442",-13.00,0.00,0.00,"",0.00,140.00,134.00,103.00,1.00,752.00,,,,,,
2015,9,17,4,2015-09-17,"OO",20304,"OO","5483",13367,"MLI","Moline, IL","IL",11292,"DEN","Denver, CO","CO","1335","1326",-9.00,0.00,12.00,8.00,"1455","1445",-10.00,0.00,0.00,"",0.00,140.00,139.00,119.00,1.00,752.00,,,,,,
2015,9,2,3,2015-09-02,"OO",20304,"OO","5483",13367,"MLI","Moline, IL","IL",11292,"DEN","Denver, CO","CO","1335","1325",-10.00,0.00,13.00,5.00,"1455","1434",-21.00,0.00,0.00,"",0.00,140.00,129.00,111.00,1.00,752.00,,,,,,
2015,9,3,4,2015-09-03,"OO",20304,"OO","5483",13367,"MLI","Moline, IL","IL",11292,"DEN","Denver, CO","CO","1335","1330",-5.00,0.00,12.00,8.00,"1455","1436",-19.00,0.00,0.00,"",0.00,140.00,126.00,106.00,1.00,752.00,,,,,,
2015,9,8,2,2015-09-08,"OO",20304,"OO","5483",13367,"MLI","Moline, IL","IL",11292,"DEN","Denver, CO","CO","1335","1354",19.00,19.00,11.00,6.00,"1455","1503",8.00,8.00,0.00,"",0.00,140.00,129.00,112.00,1.00,752.00,,,,,,
2015,9,10,4,2015-09-10,"OO",20304,"OO","5483",13367,"MLI","Moline, IL","IL",11292,"DEN","Denver, CO","CO","1335","1324",-11.00,0.00,7.00,6.00,"1455","1435",-20.00,0.00,0.00,"",0.00,140.00,131.00,118.00,1.00,752.00,,,,,,
2015,9,7,1,2015-09-07,"OO",20304,"OO","5483",13367,"MLI","Moline, IL","IL",11292,"DEN","Denver, CO","CO","1335","1316",-19.00,0.00,9.00,5.00,"1455","1437",-18.00,0.00,0.00,"",0.00,140.00,141.00,127.00,1.00,752.00,,,,,,
