ORIGIN_STATE_ABR,Airline_Count
AK,72129
AL,53984
AR,41092
AZ,359051
CA,1435144
CO,482740
CT,40830
DE,100
FL,896441
GA,792979
HI,199946
IA,31068
ID,39715
IL,758916
IN,81889
KS,20847
KY,71623
LA,137900
MA,242517
MD,190319
ME,12529
MI,301056
MN,265857
MO,204816
MS,25274
MT,33257
NC,322277
ND,30850
NE,43211
NH,13581
NJ,239906
NM,45535
NV,326115
NY,520187
OH,150327
OK,65354
OR,129237
PA,216681
PR,58381
RI,24843
SC,63142
SD,17996
TN,162411
TT,970
TX,1266397
UT,220516
VA,296528
VI,11710
VT,7372
WA,282055
WI,106579
WV,5161
WY,17396
