ID,snippet,section_name,word_count,myDate
5420e15a38f0d81f7a600b2b,"Craig Claiborne, the longtime Times food editor, introduced fyrstekake, a dense, cardamom-scented cake from Norway, to the paper in 1963....",Magazine,436,2010/11/28
541a8d8c38f0d80959e6ccbf,"For some, mise en place is a dicey proposition....",Magazine,1547,2010/09/19
5445025738f0d82782d9c5f4,How does a restaurant critic stay slim (and alive) on five meals a day?...,Magazine,1463,2010/04/18
54a9c40538f0d80bc9593fcd,Expect the hand of government to be messing around in America’s kitchens with vigor in 2007....,Week in Review,429,2006/12/31
54b0550238f0d8367c84161f,The humble flapper from Buffalo goes (slightly) upscale....,Magazine,666,2006/07/30
54b3cfa338f0d82eb90f1ddf,"No matter how you slice it, some of the country's best salmon comes from Brooklyn....",Magazine,620,2006/05/14
50b5072500315214fbb7bad8,The American Museum of Natural History and the Smithsonian will have major exhibitions devoted to food and the food industry....,Dining & Wine,203,2012/11/21
54539a9e38f0d81b603ee376,"Dolce Nonna offers three types of bottled marinated vegetables: tangy eggplant, sweet-tart peppers and tender green beans....",Dining & Wine,129,2009/07/08
5452b4ee38f0d81b603ecef0,"Jacques Torres has been making ice cream for years, but now he has a shop and carts....",Dining & Wine,156,2009/06/10
5452b5db38f0d81b603ecf08,"Greene Ice Cream, sold at a cart outside the General Greene restaurant in Brooklyn, is made Philadelphia style: no eggs....",Dining & Wine,85,2009/06/10
543589bc38f0d84355038014,"Cookbooks for parents encourage a lively curiosity about preparing meals, but every day around 5 p.m., I draw a despairing blank....",Magazine,2261,2014/10/12
5433ab2338f0d80c925073a3,"Inside the Obama administration’s standoff with Republicans, the food industry and the nation’s lunch ladies over the future of the cafeteria....",Magazine,6377,2014/10/12
54040f8838f0d80e250f47ec,"This year there are teas, calendars and a grab bag of Brooklyn-made treats that benefit charitable groups....",Dining & Wine,297,2011/12/14
546968b838f0d8317bec1086,"Bouley Market sells restaurant-quality vegetables, all prepped and ready to cook, to go with fresh meats, poultry and seafood....",Food,152,2009/04/15
5481fca438f0d8403d9cb681,Some private investors are starting to make long-term bets that the world’s need for food will increase....,Business Day,1304,2008/06/05
